skills,interests,education,experience,career_category,salary_min,salary_max
"kpis, machine learning, pandas, problem solving, pricing strategy, okrs","pattern recognition, statistics, kpis, financial analysis",bachelor's degree,6,Data Analyst,735000,1607000
"debugging, testing, scripting, html, etl","algorithms, software craftsmanship, programming, accessibility",bachelor's degree,6,Software Engineer,890000,2098000
"teamwork, c#, api design, concurrency, scripting, testing, git, market research, looker","web development, engineering, innovation",bachelor's degree,3,Software Engineer,624000,1407000
"requirements gathering, roadmap, customer discovery, stakeholder management","stakeholder collaboration, innovation, customer needs, forecasting",bachelor's degree,2,Product Manager,897000,2069000
"communication, user research, css, figma, problem solving, html, debugging, vue, spring boot, database indexing","web development, user experience, design, ui development, interactive web experiences, clean code",bachelor's degree,0,Front-End Developer,429000,994000
"critical thinking, git, redis, testing","distributed systems, infrastructure, engineering, customer needs",phd,3,Back-End Developer,686000,1407000
"reporting, stakeholder management, product strategy, pricing strategy","process improvement, stakeholder collaboration, strategy",bachelor's degree,12,Business Analyst,1304000,2904000
"stakeholder communication, data cleaning, documentation","pattern recognition, analytics",phd,1,Data Analyst,483000,1103000
"docker, git, scripting, presentation skills, process mapping, workflow automation","automation, infrastructure, cloud",bachelor's degree,0,DevOps Engineer,663000,1540000
"cloud, ansible, documentation, git, api design, linux, ci/cd, requirements gathering, financial modeling","automation, systems, technology, infrastructure",master's degree,1,DevOps Engineer,567000,1245000
"data structures, testing, git, agile, communication, cloud",infrastructure,bachelor's degree,12,Back-End Developer,1232000,2800000
"documentation, numpy, statistics, model evaluation, problem solving","algorithms, data analysis",master's degree,0,Machine Learning Engineer,631000,1332000
"stakeholder communication, agile, statistics, usability, information architecture","reporting, market research, statistics, analytics, risk management",bachelor's degree,1,Data Analyst,441000,964000
"tableau, teamwork, agile, dashboards, stakeholder communication, data visualization, sql, database indexing","reporting, strategy",bachelor's degree,15,Business Analyst,1131000,2498000
"databases, problem solving, scripting, documentation",automation,diploma,3,DevOps Engineer,819000,1840000
"data cleaning, tableau, pandas, data storytelling, sql, excel, sass, redux","learning new tools, visualization, statistics, web performance",12th pass,2,Data Analyst,514000,1205000
"process mapping, requirements gathering, data visualization, documentation, excel, reporting","requirements analysis, reporting, strategy, automation",phd,7,Business Analyst,938000,2133000
"presentation skills, statistics, tableau, dashboards, pandas, software architecture, c#","reporting, business intelligence, innovation, visualization, data analysis, distributed systems",bachelor's degree,2,Data Analyst,554000,1326000
"looker, git, problem solving, qlik, data cleaning, machine learning, stakeholder communication, cross-browser testing, tailwind css","market research, forecasting, data analysis, statistics, software craftsmanship",bachelor's degree,2,Data Analyst,601000,1337000
"numpy, pytorch, git, data cleaning, statistics, kpis","algorithms, programming, accessibility",master's degree,10,Machine Learning Engineer,1085000,2211000
"api design, data structures, grpc, communication","infrastructure, backend systems, financial analysis",master's degree,4,Back-End Developer,827000,1764000
"user research, git, javascript, teamwork, figma","web development, responsive design",bachelor's degree,0,Front-End Developer,498000,1104000
"databases, api design","systems, teamwork, cloud",bachelor's degree,1,DevOps Engineer,606000,1371000
"scripting, documentation, communication, testing","systems, software craftsmanship, system design, backend systems",diploma,1,Software Engineer,534000,1111000
"git, documentation, machine learning, pandas, algorithms","pattern recognition, teamwork, system design",bachelor's degree,0,Machine Learning Engineer,653000,1332000
"customer discovery, communication, market analysis, stakeholder management","customer feedback, distributed systems",bachelor's degree,0,Product Manager,822000,1764000
"prototyping, personas, css, card sorting, agile, presentation skills, redux, storybook",user research,master's degree,5,UX Designer,670000,1460000
"vlookup, python, excel, critical thinking, code review",reporting,master's degree,1,Data Analyst,454000,1072000
"market analysis, roadmap, excel, documentation, dax, vlookup","strategy, financial analysis, predictive modeling",bachelor's degree,4,Business Analyst,656000,1393000
"testing, terraform, api design, linux, databases, cloud, authentication","infrastructure, site reliability, cloud, product strategy",bachelor's degree,4,DevOps Engineer,719000,1484000
"html, git, javascript, agile, gap analysis, workflow automation","backend systems, teamwork, web development",bachelor's degree,3,Software Engineer,776000,1840000
"git, algorithms, design critique","engineering, backend systems, learning new tools, system design, web development, accessibility",bachelor's degree,3,Software Engineer,663000,1423000
"sharding, debugging, linux, ci/cd, design patterns, reinforcement learning",engineering,bachelor's degree,1,Back-End Developer,624000,1297000
"scripting, design patterns, html, data structures, agile","engineering, teamwork",master's degree,5,Software Engineer,872000,1774000
"looker, machine learning, pandas, stakeholder communication, excel, sql, critical thinking","pattern recognition, kpis, reporting, problem solving, customer needs",bachelor's degree,1,Data Analyst,513000,1030000
"ci/cd, agile, databases, api design, xgboost, mlops","innovation, cloud computing, cloud, infrastructure",master's degree,15,DevOps Engineer,1486000,3141000
"data structures, ci/cd, mongodb","teamwork, infrastructure, data storytelling",12th pass,5,Back-End Developer,679000,1376000
"figma, design systems, user research","customer feedback, user research, learning new tools",diploma,3,UX Designer,671000,1450000
"pandas, python, communication, tableau, data storytelling, stakeholder communication, product strategy","statistics, innovation",bachelor's degree,10,Data Analyst,958000,1938000
"git, user research, communication, testing, product analytics, pricing strategy","coding, web development, ui development",master's degree,1,Front-End Developer,505000,1135000
"testing, design patterns, data structures, node.js, debugging, authentication, teamwork, docker","technology, infrastructure",bachelor's degree,3,Back-End Developer,586000,1362000
"git, user research, javascript, testing, design systems, financial modeling, business case development","coding, distributed systems",bachelor's degree,2,Front-End Developer,642000,1452000
"communication, workflow automation, stakeholder management, stakeholder communication, git, interaction design","reporting, strategy",bachelor's degree,3,Business Analyst,700000,1420000
"sql, dashboards, reporting, tableau, communication, caching, node.js","reporting, stakeholder collaboration, problem solving",master's degree,1,Business Analyst,550000,1308000
"javascript, git, data structures, debugging, c#, hyperparameter tuning, model evaluation","learning new tools, automation",master's degree,4,Software Engineer,735000,1555000
"prometheus, linux, databases, critical thinking, visual design","cloud, automation, infrastructure",bachelor's degree,1,DevOps Engineer,716000,1440000
"debugging, deep learning, git, data warehousing","nlp research, pattern recognition, predictive modeling, statistics",master's degree,1,Machine Learning Engineer,745000,1522000
"reporting, presentation skills, data cleaning, python, statistics, data visualization, pivot tables, mongodb, authentication","data analysis, reporting, visualization",diploma,1,Data Analyst,425000,904000
"python, statistics, charts, numpy, excel, data visualization","analytics, market research, dashboards, teamwork, automation",bachelor's degree,14,Data Analyst,1323000,2819000
"gap analysis, critical thinking, roadmap, data visualization, problem solving, market analysis, interaction design, design critique","innovation, financial analysis, analytics, requirements analysis, cloud computing",diploma,5,Business Analyst,674000,1362000
"user research, stakeholder management, documentation, logging systems, networking","stakeholder collaboration, infrastructure",master's degree,1,Product Manager,803000,1719000
"docker, databases, data structures, database indexing, testing, problem solving, incident response, helm","scalability, cloud, engineering, infrastructure",bachelor's degree,3,Back-End Developer,580000,1270000
"api design, cloud, communication, ci/cd, object-oriented design, c#","backend systems, engineering",bachelor's degree,3,Back-End Developer,657000,1450000
"user research, documentation, teamwork, html, power bi, qlik","coding, design, web development, innovation",diploma,10,Front-End Developer,1076000,2391000
"python, presentation skills, stakeholder communication, documentation, statistics, numpy, machine learning","market research, data storytelling, analytics, data analysis",bachelor's degree,3,Data Analyst,592000,1237000
"design systems, typescript, figma, git, presentation skills, okrs","responsive design, design, web development, requirements analysis",master's degree,8,Front-End Developer,963000,2088000
"teamwork, numpy, data cleaning, statistics, agile, reporting, market research, sql","business intelligence, learning new tools, pattern recognition",phd,1,Data Analyst,431000,915000
"presentation skills, user research, css, design systems, personas, prototyping, nlp","customer feedback, user experience, design, human-centered design",bachelor's degree,5,UX Designer,646000,1344000
"c#, git, ci/cd, refactoring, algorithms, html","engineering, algorithms, innovation, coding, market fit",bachelor's degree,6,Software Engineer,1004000,2374000
"javascript, git, python, concurrency, testing, scripting, monitoring, kubernetes","system design, coding, programming, nlp research",phd,2,Software Engineer,719000,1706000
"testing, docker, go-to-market strategy","automation, systems, infrastructure, innovation",diploma,2,DevOps Engineer,786000,1771000
"databases, ci/cd, documentation, cloud, interaction design, card sorting","cloud, infrastructure, visual storytelling",bachelor's degree,4,DevOps Engineer,917000,2061000
"data cleaning, pandas, use case documentation, gap analysis","problem solving, dashboards, statistics",diploma,13,Data Analyst,1026000,2383000
"prototyping, critical thinking, user research, teamwork, css, design critique, interaction design, personas, customer discovery","user research, customer feedback, human-centered design, design, model optimization",bachelor's degree,2,UX Designer,516000,1140000
"css, git, prototyping, design systems, cross-browser testing","problem solving, web development",12th pass,3,Front-End Developer,523000,1119000
"git, algorithms, linear algebra, machine learning, documentation","programming, innovation, algorithms, responsive design",diploma,6,Machine Learning Engineer,1053000,2437000
"html, angular, figma, react, communication, git, css, c++, c#","ui development, design, user experience, interactive web experiences, web development",bachelor's degree,5,Front-End Developer,672000,1461000
"user research, design systems, figma, usability, prototyping, personas, reinforcement learning, nlp","learning new tools, user research",diploma,7,UX Designer,893000,1923000
"ci/cd, cloud, api design, agile, git, linear algebra, xgboost","engineering, api design",bachelor's degree,1,Back-End Developer,566000,1250000
"debugging, machine learning, presentation skills, infrastructure as code, ansible","data analysis, predictive modeling, programming",master's degree,1,Machine Learning Engineer,789000,1840000
"reporting, sql, data visualization, sharding, authentication","visualization, pattern recognition",diploma,1,Data Analyst,406000,832000
"excel, roadmap, agile, data visualization, sql, communication, stakeholder communication, looker","strategy, visualization",bachelor's degree,3,Business Analyst,609000,1407000
"dashboards, excel, statistics, machine learning, problem solving, helm, prometheus",analytics,diploma,2,Data Analyst,499000,1064000
"prototyping, agile, personas, presentation skills, design systems, vue, typescript","visual storytelling, user research, design, teamwork, predictive modeling",bachelor's degree,14,UX Designer,1203000,2671000
"figma, customer discovery, teamwork, angular","teamwork, user research",bachelor's degree,7,UX Designer,804000,1887000
"testing, debugging, databases, git, authentication, problem solving, ci/cd, teamwork, reinforcement learning, deep learning","cloud, backend systems, financial analysis",diploma,0,Back-End Developer,479000,1004000
"git, api design, scripting, software architecture","automation, algorithms, clean code, problem solving, systems, risk management",master's degree,12,Software Engineer,1256000,2571000
"api design, teamwork, ci/cd, linux, spring boot, testing","engineering, infrastructure",bachelor's degree,7,Back-End Developer,811000,1715000
"python, communication, agile, numpy, pandas","algorithms, problem solving, data analysis",bachelor's degree,3,Machine Learning Engineer,852000,1812000
"customer discovery, metrics, competitive analysis, presentation skills, critical thinking, communication, site reliability, terraform","teamwork, user research, stakeholder collaboration, market fit, business intelligence",diploma,1,Product Manager,911000,2056000
"databases, scripting, api design, communication, git, linux","teamwork, automation, infrastructure",bachelor's degree,4,DevOps Engineer,853000,1806000
"reporting, communication, pandas, excel, tableau, spring boot","analytics, statistics, dashboards",bachelor's degree,9,Data Analyst,805000,1867000
"user research, stakeholder management, angular","stakeholder collaboration, strategy, automation",12th pass,1,Product Manager,873000,1921000
"python, reporting, numpy, data warehousing, statistics, site reliability","data analysis, statistics, data storytelling, analytics, visual storytelling",bachelor's degree,1,Data Analyst,518000,1157000
"statistics, tensorflow, teamwork, algorithms, problem solving, pandas, kubernetes","programming, pattern recognition, teamwork, algorithms, system design",bachelor's degree,1,Machine Learning Engineer,672000,1540000
"ui components, debugging, css, design systems","web development, ui development, technology, web performance, coding, requirements analysis",bachelor's degree,3,Front-End Developer,604000,1218000
"c++, algorithms, data structures, ci/cd, power bi, pivot tables","web development, technology, coding, engineering",bachelor's degree,3,Software Engineer,794000,1759000
"javascript, c++, scripting, ci/cd, html, linux, agile, grpc, spring boot","automation, engineering, learning new tools, system design, clean code, backend systems, cloud computing",bachelor's degree,2,Software Engineer,638000,1473000
"c#, testing, api design, problem solving, algorithms, concurrency, documentation, risk analysis, requirements gathering","web development, automation, clean code",master's degree,3,Software Engineer,774000,1594000
"teamwork, design systems, javascript, communication, prototyping, testing",design,bachelor's degree,10,Front-End Developer,1033000,2453000
"css, problem solving, debugging, presentation skills, javascript, git, html, mlops","web development, coding",bachelor's degree,0,Front-End Developer,407000,861000
"docker, agile, caching, debugging, api design, teamwork, sketch, heuristic evaluation","engineering, backend systems, scalability, cloud computing",master's degree,1,Back-End Developer,534000,1252000
"presentation skills, prototyping, design systems, visual design, information architecture, refactoring, performance tuning","design, learning new tools, responsive design",master's degree,0,UX Designer,419000,876000
"data cleaning, agile, git, dashboards","pattern recognition, problem solving, statistics, analytics",diploma,10,Data Analyst,1006000,2264000
"python, pandas, machine learning, debugging, heuristic evaluation","learning new tools, statistics, algorithms",master's degree,3,Machine Learning Engineer,856000,1756000
"communication, dashboards, requirements gathering, git, data visualization","stakeholder collaboration, visualization, system reliability",bachelor's degree,1,Business Analyst,479000,1117000
"data structures, debugging, product analytics, okrs","innovation, statistics, data analysis",diploma,1,Machine Learning Engineer,681000,1587000
"sql, data cleaning, pandas, competitive analysis","data storytelling, problem solving, visualization",phd,1,Data Analyst,467000,941000
"algorithms, python, object-oriented design, communication, html","coding, automation, usability",diploma,2,Software Engineer,722000,1727000
"presentation skills, agile, html, git, business case development, business process improvement","coding, responsive design, user experience, web development, learning new tools",master's degree,3,Front-End Developer,609000,1349000
"redis, debugging, ci/cd, communication, linux, docker, infrastructure as code, ansible","infrastructure, engineering, software craftsmanship",bachelor's degree,2,Back-End Developer,523000,1176000
"dashboards, excel, problem solving, sql, stakeholder communication, stakeholder management, teamwork",visualization,master's degree,0,Business Analyst,507000,1064000
"statistics, mlops, pandas, algorithms, data cleaning","technology, model optimization, statistics, pattern recognition",master's degree,12,Machine Learning Engineer,1318000,2722000
"debugging, figma, css, critical thinking, git, design systems, testing, information architecture, card sorting","web development, coding, teamwork, user experience",diploma,0,Front-End Developer,496000,1004000
"git, prototyping, figma, critical thinking, debugging","web performance, web development, coding",bachelor's degree,1,Front-End Developer,545000,1185000
"problem solving, documentation, debugging, data structures, numpy, machine learning, pandas, heuristic evaluation","algorithms, programming",phd,3,Machine Learning Engineer,874000,2050000
"api design, databases, debugging, design patterns, data warehousing","innovation, backend systems, engineering, api design, infrastructure, system reliability",master's degree,8,Back-End Developer,914000,2099000
"debugging, git, algorithms, machine learning, c#, performance tuning","predictive modeling, statistics, data analysis, technology",bachelor's degree,5,Machine Learning Engineer,934000,2035000
"user research, teamwork, javascript, html, prototyping, critical thinking, xgboost, linear algebra",web development,master's degree,7,Front-End Developer,824000,1765000
"django, cloud, databases, api design, testing, presentation skills","engineering, visual storytelling",diploma,14,Back-End Developer,1225000,2892000
"cloud, databases, debugging, scikit-learn","cloud, backend systems, engineering, distributed systems, usability",master's degree,1,Back-End Developer,515000,1227000
"python, charts, stakeholder communication, pandas, data cleaning","visualization, technology, data analysis, market research, interactive web experiences",bachelor's degree,6,Data Analyst,728000,1534000
"linux, performance tuning, python, agile, data structures, git, communication, interaction design, journey mapping","algorithms, web development",bachelor's degree,5,Software Engineer,943000,1935000
"ci/cd, critical thinking, git, databases, api design, linux","infrastructure, site reliability, problem solving, automation, api design",bachelor's degree,8,DevOps Engineer,1014000,2063000
"risk analysis, process mapping, excel, market analysis, stakeholder communication, tableau, object-oriented design, refactoring","problem solving, financial analysis, strategy, analytics, process improvement, stakeholder collaboration",bachelor's degree,1,Business Analyst,508000,1023000
"user research, react, critical thinking, debugging, next.js, problem solving, git, html, heuristic evaluation, sketch","coding, teamwork, responsive design, product strategy",diploma,2,Front-End Developer,556000,1122000
"documentation, scripting, html, ci/cd, api design, metrics, go-to-market strategy","algorithms, learning new tools, web development, clean code, computer vision",bachelor's degree,3,Software Engineer,704000,1637000
"linux, html, api design, debugging, testing, metrics, backlog grooming","engineering, system design, software craftsmanship, systems, interactive web experiences",diploma,0,Software Engineer,489000,1139000
"linux, agile, ci/cd, presentation skills, design patterns, redis","backend systems, learning new tools, automation",bachelor's degree,0,Software Engineer,618000,1331000
"requirements gathering, sql, agile, communication, data visualization, excel, market analysis","strategy, innovation, stakeholder collaboration, analytics, system design",diploma,6,Business Analyst,892000,1892000
"data cleaning, tableau, machine learning, git, sql, business process improvement, process mapping","statistics, innovation, market research",bachelor's degree,0,Data Analyst,433000,887000
"presentation skills, data structures, critical thinking, testing, api design, algorithms","teamwork, systems, system design, predictive modeling",bachelor's degree,1,Software Engineer,521000,1170000
"algorithms, problem solving, debugging, usability","programming, artificial intelligence, learning new tools, statistics, distributed systems",bachelor's degree,1,Machine Learning Engineer,768000,1592000
"git, linux, scripting, python, ci/cd, object-oriented design, heuristic evaluation","automation, backend systems, engineering, product strategy",bachelor's degree,6,Software Engineer,801000,1610000
"user research, javascript, unit testing, code review",web development,bachelor's degree,4,Front-End Developer,668000,1486000
"user research, prototyping, personas, problem solving","user research, design, user experience",phd,15,UX Designer,1324000,2740000
"redux, storybook, prototyping, html, agile, figma, css, documentation, competitive analysis, backlog grooming","technology, web performance, user experience, model optimization",bachelor's degree,1,Front-End Developer,445000,1017000
"git, communication, css, figma, html, javascript, authentication, message queues","technology, web development, coding, system design",12th pass,3,Front-End Developer,618000,1459000
"svelte, figma, prototyping, teamwork, css","coding, design, user experience, technology",bachelor's degree,0,Front-End Developer,476000,1041000
"numpy, python, machine learning, excel, stakeholder communication","reporting, data analysis",bachelor's degree,14,Data Analyst,1193000,2833000
"angular, javascript, documentation, tailwind css, presentation skills, design systems, user research, information architecture, card sorting","user experience, clean code",master's degree,6,Front-End Developer,864000,1787000
"reporting, pandas, excel, concurrency, c#","problem solving, visualization, scalability",diploma,4,Data Analyst,706000,1624000
"docker, data structures, c#, performance tuning","backend systems, system reliability, infrastructure, interactive web experiences",diploma,5,Back-End Developer,724000,1517000
"git, critical thinking, data cleaning, numpy, backlog grooming, go-to-market strategy","technology, pattern recognition, programming, data analysis, data storytelling",bachelor's degree,0,Machine Learning Engineer,747000,1740000
"documentation, data structures, git, testing, linux","software craftsmanship, programming, problem solving",bachelor's degree,9,Software Engineer,1142000,2522000
"dashboards, stakeholder communication, agile, reinforcement learning","statistics, visualization, technology, data analysis, market fit",master's degree,1,Data Analyst,461000,1032000
"docker, git, api design, scripting, presentation skills, cloud","systems, infrastructure",bachelor's degree,4,DevOps Engineer,889000,2075000
"pandas, computer vision, teamwork, agile, python","artificial intelligence, algorithms, forecasting",bachelor's degree,15,Machine Learning Engineer,1653000,3647000
"linux, design patterns, databases, data structures, debugging, go-to-market strategy","infrastructure, system design",master's degree,2,Back-End Developer,534000,1276000
"backlog grooming, roadmap, presentation skills, stakeholder management, okrs","user research, stakeholder collaboration",bachelor's degree,2,Product Manager,844000,1877000
"google sheets, communication, teamwork, reporting, tableau, xgboost","market research, forecasting, reporting, customer needs",master's degree,5,Data Analyst,676000,1394000
"git, docker, debugging, design patterns",engineering,bachelor's degree,5,Back-End Developer,726000,1590000
"critical thinking, problem solving, design patterns, docker","engineering, cloud, backend systems, market fit",diploma,7,Back-End Developer,759000,1544000
"communication, stakeholder management, customer discovery","technology, stakeholder collaboration, user research, market research",bachelor's degree,8,Product Manager,1364000,2872000
"agile, design patterns, git, code review, object-oriented design","api design, infrastructure",bachelor's degree,6,Back-End Developer,944000,2230000
"requirements gathering, critical thinking, data visualization, teamwork, infrastructure as code","analytics, strategy",diploma,4,Business Analyst,619000,1345000
"problem solving, figma, critical thinking, user research, design systems, node.js","customer feedback, responsive design",phd,6,UX Designer,708000,1632000
"ci/cd, linux","infrastructure, cloud, api design, artificial intelligence",bachelor's degree,5,Back-End Developer,704000,1424000
"problem solving, documentation, testing, linux, docker, git, api design, kpis","automation, cloud, systems",diploma,4,DevOps Engineer,910000,2043000
"problem solving, agile, excel, data visualization","learning new tools, reporting, stakeholder collaboration, financial analysis, ui development",bachelor's degree,14,Business Analyst,1246000,2736000
"presentation skills, communication, market analysis","customer feedback, user research, customer needs",phd,1,Product Manager,877000,1770000
"design patterns, redis, spring boot, debugging, design critique, visual design","engineering, infrastructure, distributed systems, teamwork, visual storytelling",bachelor's degree,6,Back-End Developer,791000,1628000
"figma, customer discovery, interaction design, sketch, prototyping","customer feedback, user research",diploma,7,UX Designer,693000,1394000
"pandas, vlookup, data cleaning, numpy, data warehousing, dashboards, presentation skills, agile, stakeholder communication","pattern recognition, accessibility",bachelor's degree,4,Data Analyst,697000,1665000
"personas, customer discovery, critical thinking, teamwork, helm","customer feedback, learning new tools, strategy, nlp research",diploma,0,Product Manager,756000,1586000
"testing, api design, communication, load balancing, django",cloud,bachelor's degree,6,DevOps Engineer,966000,2236000
"problem solving, tableau, data visualization, reporting, stakeholder management, pytorch, tensorflow","analytics, requirements analysis, risk management, strategy, innovation",bachelor's degree,6,Business Analyst,848000,2012000
"critical thinking, css animations, git, figma, sass","coding, interactive web experiences, design, user experience",bachelor's degree,14,Front-End Developer,1066000,2536000
"pandas, python","innovation, reporting, data analysis, analytics, requirements analysis",diploma,6,Data Analyst,837000,1916000
"tableau, statistics, machine learning, business case development, stakeholder interviews",reporting,bachelor's degree,3,Data Analyst,639000,1375000
"javascript, git, debugging, agile, testing, go-to-market strategy, backlog grooming","backend systems, innovation, api design",diploma,5,Software Engineer,910000,1970000
"python, testing, terraform, logging systems","systems, system reliability",master's degree,2,Software Engineer,734000,1507000
"testing, user research, prototyping, git, css","coding, interactive web experiences, data storytelling",bachelor's degree,3,Front-End Developer,586000,1360000
"ansible, api design, databases, testing, presentation skills, scripting, communication, ci/cd, monitoring","infrastructure, cloud, automation, software craftsmanship",bachelor's degree,3,DevOps Engineer,773000,1792000
"design systems, presentation skills, user research, css, javascript, testing","design, technology, web development, site reliability",master's degree,4,Front-End Developer,768000,1536000
"python, git, design patterns, api design, scripting, linux, critical thinking","software craftsmanship, web development, learning new tools, customer needs",bachelor's degree,4,Software Engineer,741000,1645000
"prototyping, debugging, process mapping, requirements gathering",web development,master's degree,3,Front-End Developer,534000,1089000
"prototyping, figma, debugging, agile, git, testing, nlp","problem solving, coding, design, system design",diploma,6,Front-End Developer,682000,1580000
"communication, javascript, teamwork, linux, design critique, journey mapping","automation, coding",bachelor's degree,2,Software Engineer,644000,1330000
"algorithms, debugging, javascript, design patterns, testing, scikit-learn","coding, innovation, backend systems, web development, financial analysis",bachelor's degree,10,Software Engineer,1052000,2433000
"ci/cd, databases, load balancing, spring boot, design patterns, code review","distributed systems, backend systems, engineering, technology, cloud",bachelor's degree,10,Back-End Developer,947000,2028000
"documentation, databases, data structures, linux, git, debugging","infrastructure, distributed systems, backend systems",master's degree,3,Back-End Developer,724000,1618000
"design systems, css, react, redux, git, critical thinking, html","design, software craftsmanship",bachelor's degree,10,Front-End Developer,869000,1877000
"site reliability, teamwork, api design, linux, scripting, cloud, docker, software architecture","infrastructure, cloud, learning new tools, requirements analysis",bachelor's degree,1,DevOps Engineer,689000,1480000
"git, linux, incident response, api design, scripting, databases, docker, redux, cross-browser testing","automation, infrastructure, cloud computing, scalability",master's degree,8,DevOps Engineer,1176000,2562000
"documentation, sql, pandas, tableau, dashboards, cross-browser testing, svelte","visualization, market research",bachelor's degree,1,Data Analyst,504000,1109000
"design patterns, c#, api design, business process improvement","innovation, automation, systems, growth",bachelor's degree,4,Software Engineer,742000,1694000
"reinforcement learning, data structures, pandas, backlog grooming","programming, algorithms, technology, computer vision",diploma,2,Machine Learning Engineer,729000,1646000
"stakeholder communication, sql","dashboards, statistics, learning new tools, distributed systems",diploma,3,Data Analyst,542000,1273000
"communication, stakeholder management, competitive analysis, documentation, problem solving, pivot tables, etl","strategy, customer feedback, technology, user research",diploma,10,Product Manager,1233000,2794000
"algorithms, javascript, python, software architecture, unit testing, interaction design, information architecture","automation, programming, software craftsmanship, dashboards",bachelor's degree,3,Software Engineer,763000,1812000
"git, ci/cd, critical thinking",cloud,bachelor's degree,15,DevOps Engineer,1566000,3631000
"heuristic evaluation, prototyping, personas","user research, customer feedback, learning new tools, market research",master's degree,3,UX Designer,532000,1082000
"machine learning, teamwork, debugging, statistics, pandas, helm, grafana","technology, programming, algorithms, pattern recognition",bachelor's degree,15,Machine Learning Engineer,1667000,3555000
"user research, javascript, css, terraform, infrastructure as code","interactive web experiences, web development, design, teamwork, forecasting",bachelor's degree,10,Front-End Developer,962000,2298000
"sql, documentation, machine learning, stakeholder communication, pricing strategy",reporting,bachelor's degree,10,Data Analyst,1098000,2203000
"market analysis, customer discovery, stakeholder management, personas, teamwork, documentation","customer feedback, problem solving, stakeholder collaboration",12th pass,6,Product Manager,1173000,2378000
"testing, linux, databases, site reliability, api design, docker, kpis, dax","infrastructure, learning new tools, systems, visual storytelling",bachelor's degree,4,DevOps Engineer,723000,1492000
"design patterns, debugging","innovation, cloud, infrastructure",phd,2,Back-End Developer,559000,1298000
"requirements gathering, communication, data visualization, git, sketch","strategy, interactive web experiences",diploma,10,Business Analyst,1018000,2074000
"linux, api design, git","site reliability, automation, infrastructure, systems",bachelor's degree,7,DevOps Engineer,1035000,2256000
"roadmap, stakeholder communication, requirements gathering","analytics, learning new tools, requirements analysis, financial analysis, system design",master's degree,1,Business Analyst,554000,1233000
"statistics, pandas","analytics, problem solving",bachelor's degree,4,Data Analyst,590000,1202000
"customer discovery, user research, communication","user research, market fit, product strategy, strategy",bachelor's degree,6,Product Manager,1123000,2661000
"communication, ci/cd, cloud, critical thinking, scripting, linux, kpis","infrastructure, automation, site reliability, cloud, innovation",master's degree,11,DevOps Engineer,1314000,2850000
"problem solving, customer discovery, figma, design systems, css, object-oriented design","design, user experience",master's degree,5,UX Designer,710000,1663000
"ci/cd, javascript, linux, design patterns","engineering, software craftsmanship, model optimization",master's degree,3,Software Engineer,734000,1597000
"problem solving, debugging, design systems, communication, javascript, git","technology, user experience, system design",bachelor's degree,2,Front-End Developer,601000,1441000
"design patterns, html, testing, data structures, scripting, communication, algorithms, cross-browser testing, tailwind css","engineering, coding, interactive web experiences",master's degree,1,Software Engineer,560000,1188000
"design systems, prototyping, git, sass, testing, kpis, a/b testing","user experience, technology",master's degree,4,Front-End Developer,710000,1589000
"scripting, testing, communication, linux, cloud, problem solving, git, authentication, load balancing","automation, systems, distributed systems",master's degree,7,DevOps Engineer,1070000,2416000
"customer discovery, critical thinking, figma, prototyping, documentation, personas, progressive web apps","user experience, user research, customer feedback, visual storytelling, accessibility",diploma,15,UX Designer,1391000,2849000
"api design, ci/cd, cloud, critical thinking, linux, debugging, problem solving, heuristic evaluation","backend systems, cloud, engineering, accessibility",12th pass,5,Back-End Developer,856000,1967000
"data visualization, stakeholder communication, machine learning, data cleaning, dashboards, agile","dashboards, analytics",bachelor's degree,1,Data Analyst,503000,1092000
"debugging, critical thinking, angular, javascript, figma, git","web development, forecasting",master's degree,1,Front-End Developer,516000,1223000
"figma, testing, agile","web development, problem solving",bachelor's degree,3,Front-End Developer,554000,1326000
"market analysis, risk analysis, requirements gathering, stakeholder communication, business case development, data visualization","innovation, visualization, risk management, product strategy",diploma,6,Business Analyst,734000,1511000
"docker, cloud, git, teamwork, api design, testing","infrastructure, automation",bachelor's degree,2,DevOps Engineer,651000,1304000
"requirements gathering, market analysis, presentation skills, documentation, product strategy, communication, django, postgresql","user research, customer feedback, stakeholder collaboration",bachelor's degree,1,Product Manager,814000,1892000
"api design, ci/cd, testing, scripting, communication, agile","systems, cloud",bachelor's degree,3,DevOps Engineer,869000,1951000
"documentation, linux, data structures, databases, git, agile, ci/cd","engineering, backend systems, cloud, teamwork",12th pass,6,Back-End Developer,926000,1964000
"requirements gathering, market analysis, communication, model evaluation, mlops","user research, technology, strategy, customer feedback, software craftsmanship",bachelor's degree,1,Product Manager,788000,1736000
"design systems, html, debugging, css, problem solving, figma, agile, workflow automation","ui development, innovation, web development",12th pass,3,Front-End Developer,548000,1310000
"roadmap, stakeholder management, problem solving, backlog grooming, customer discovery, agile, personas","strategy, stakeholder collaboration, customer feedback",bachelor's degree,10,Product Manager,1361000,2928000
"documentation, ci/cd, cloud, terraform, databases, git, linux, next.js","automation, problem solving, clean code",bachelor's degree,6,DevOps Engineer,861000,1727000
"git, design patterns, testing, linux, databases","infrastructure, technology, engineering, scalability",12th pass,0,Back-End Developer,499000,1180000
